title,price,brand,availability,rating
"Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android","₹19,999.00",Lava,In stock,4.2 out of 5 stars
"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)","₹61,999.00",OnePlus,In stock,4.3 out of 5 stars
"realme narzo 60X 5G（Nebula Purple 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","₹11,749.00",realme,In stock,4.0 out of 5 stars
"Vivo Y56 5G (Orange Shimmer, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹18,999.00",Vivo,In stock,4.0 out of 5 stars
"OnePlus 11R 5G (Galactic Silver, 16GB RAM, 256GB Storage)","₹44,998.00",OnePlus,In stock,4.3 out of 5 stars
"Vivo Y56 5G (Black Engine, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹18,999.00",Vivo,In stock,4.0 out of 5 stars
"realme narzo 60X 5G（Nebula Purple 6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","₹12,999.00",Realme,In stock,4.0 out of 5 stars
"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger","₹12,990.00",Samsung,In stock,3.9 out of 5 stars
"Samsung Galaxy M34 5G (Midnight Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger","₹16,499.00",Samsung,In stock,3.8 out of 5 stars
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","₹17,998.00",OnePlus,In stock,4.2 out of 5 stars
"OnePlus Nord 3 5G (Misty Green, 16GB RAM, 256GB Storage)","₹37,998.00",OnePlus,In stock,4.0 out of 5 stars
Redmi 12 5G Moonstone Silver 4GB RAM 128GB ROM,"₹11,999.00",Redmi,In stock,3.8 out of 5 stars
"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box","₹13,249.00",iQOO,In stock,4.0 out of 5 stars
"Samsung Galaxy A54 5G (Awesome Violet, 8GB, 256GB Storage) | 50 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger","₹37,499.00",Samsung,In stock,4.0 out of 5 stars
"TECNO Camon 19 Neo (Dreamland Green, 6GB RAM, 128GB Storage)|48MP Super Night Rear Camera|32MP Selfie Camera","₹8,999.00",Tecno,In stock,3.7 out of 5 stars
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","₹17,999.00",OnePlus,In stock,4.2 out of 5 stars
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","₹19,999.00",OnePlus,In stock,4.1 out of 5 stars
"OnePlus Nord CE 3 5G (Grey Shimmer, 12GB RAM, 256GB Storage)","₹28,999.00",OnePlus,In stock,4.0 out of 5 stars
Redmi 12 5G Jade Black 4GB RAM 128GB ROM,"₹11,999.00",Redmi,In stock,3.8 out of 5 stars
"Samsung Galaxy A34 5G (Awesome Lime, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger","₹29,999.00",Samsung,In stock,4.0 out of 5 stars
"Lava Blaze 5G (Glass Blue, 8GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 16GB Expandable RAM | Charger Included | Clean Android (No Bloatware)","₹11,999.00",Lava,In stock,4.0 out of 5 stars
